Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:     -1, rd_minus:   3230, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6606, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1149 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4276, rd_minus:   3180, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1150 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  18496, rd_minus:  28132, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1151 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6302, rd_minus:   8610, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1152 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  22536, rd_minus:  20360, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1153 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15512, rd_minus:  19998, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1154 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7072, rd_minus:   7072, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1155 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8138, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1156 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11578, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1157 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4706, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1158 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3860, rd_minus:   3182, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1159 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1784, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1160 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2518, rd_minus:   2408, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1161 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3114, rd_minus:   2994, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1162 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11012, rd_minus:  10984, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1163 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1030, rd_minus:   1104, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1164 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2498, rd_minus:   1700, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1165 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1924, rd_minus:   1444, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1166 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1972, rd_minus:   1736, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1167 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3368, rd_minus:   2636, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1168 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3040, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1169 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2696, rd_minus:   3608, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1170 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10096, rd_minus:   9112, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1171 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4918, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1172 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2264, rd_minus:   3424, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1173 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2784, rd_minus:   2850, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1174 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2438, rd_minus:   2294, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1175 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    196, rd_minus:    254, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1176 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2934, rd_minus:   2708, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1177 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2474, rd_minus:   2796, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1178 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5638, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1179 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  27082, rd_minus:  27082, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1180 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3354, rd_minus:   3268, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1181 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1622, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1182 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8142, rd_minus:   8644, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1183 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2696, rd_minus:   2700, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1184 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4492, rd_minus:   4996, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1185 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5882, rd_minus:   5970, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1186 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5520, rd_minus:   5056, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1187 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3092, rd_minus:   3514, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1188 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6646, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1189 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6870, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1190 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5980, rd_minus:   5814, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1191 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5494, rd_minus:   6006, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1192 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  20910, rd_minus:  17140, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1193 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  45136, rd_minus:  44376, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1194 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7004, rd_minus:   5130, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1195 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6074, rd_minus:   7674, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1196 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9164, rd_minus:   9922, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1197 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8080, rd_minus:   8926, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1198 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  36904, rd_minus:  11052, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1199 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  27552, rd_minus:  23158, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1200 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7302, rd_minus:   6442, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1201 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6860, rd_minus:   8400, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1202 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7052, rd_minus:   7994, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1203 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7368, rd_minus:   7674, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1204 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11558, rd_minus:   9712, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1205 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15516, rd_minus:  12714, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1206 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  20756, rd_minus:  15446, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1207 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4240, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1208 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3784, rd_minus:   3720, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1209 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  14812, rd_minus:  16210, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1210 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1830, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1211 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13404, rd_minus:  13420, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1212 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1964, rd_minus:   2016, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1213 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5110, rd_minus:   5048, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1214 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2756, rd_minus:   1716, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1215 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2706, rd_minus:   2972, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1216 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2042, rd_minus:   1964, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1217 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6338, rd_minus:   7366, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1218 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9498, rd_minus:   9554, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1219 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8652, rd_minus:  13908, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1220 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2834, rd_minus:   2908, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1221 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  13202, rd_minus:  14280, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1222 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5072, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1223 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2834, rd_minus:   2778, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1224 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3752, rd_minus:   3288, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1225 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1508, rd_minus:   1610, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1226 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2186, rd_minus:   2160, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1227 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2498, rd_minus:   2660, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1228 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    784, rd_minus:    822, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1229 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3154, rd_minus:   3782, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1230 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1848, rd_minus:   1960, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1231 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1468, rd_minus:   1632, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1232 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5800, rd_minus:   3798, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1233 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2334, rd_minus:   2488, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1234 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  14852, rd_minus:  14738, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1235 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1884, rd_minus:   1746, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1236 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5994, rd_minus:   7222, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1237 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12074, rd_minus:  11456, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1238 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1372, rd_minus:   1954, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1239 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4560, rd_minus:   4350, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1240 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4704, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1241 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16484, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1242 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   7264, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1243 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7162, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1244 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10002, rd_minus:  12668, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1245 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  16782, rd_minus:  15116, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1246 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4248, rd_minus:   4612, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1247 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2304, rd_minus:   3836, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1248 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    376, rd_minus:    380, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1249 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    364, rd_minus:    352, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1250 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7184, rd_minus:   6934, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1251 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6628, rd_minus:   4506, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1252 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9074, rd_minus:   7954, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1253 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5234, rd_minus:   6366, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1254 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7266, rd_minus:   7208, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1255 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6884, rd_minus:   6858, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1256 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  12812, rd_minus:  11886, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1257 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11132, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1258 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6248, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1259 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    908, rd_minus:    848, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1260 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4640, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1261 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5200, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1262 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  13080, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1263 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6440, rd_minus:   4178, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1264 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  27640, rd_minus:  27614, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1265 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4686, rd_minus:   4060, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1266 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5510, rd_minus:   6288, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1267 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5946, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1268 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4752, rd_minus:   4872, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1269 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5116, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1270 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4424, rd_minus:   4372, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1271 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3828, rd_minus:   3994, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1272 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2204, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1273 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4948, rd_minus:   7236, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1274 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  13246, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1275 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2772, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1276 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:  11932, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1277 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  10848, rd_minus:  11678, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1278 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9686, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1279 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9282, rd_minus:   9070, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1280 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6048, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1281 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2712, rd_minus:   3660, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1282 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5482, rd_minus:   4792, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1283 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5090, rd_minus:   5212, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 1284 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   1748, rd_minus:   1346, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1285 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5112, rd_minus:   6168, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1286 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  15750, rd_minus:  18366, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1287 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3666, rd_minus:   5302, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1288 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4884, rd_minus:   4752, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1289 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3652, rd_minus:   3530, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1290 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  11158, rd_minus:  11290, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1291 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2364, rd_minus:   2496, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1292 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5228, rd_minus:   4312, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1293 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3960, rd_minus:   3404, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1294 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3480, rd_minus:   3682, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1295 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   5638, rd_minus:   5110, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1296 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   4140, rd_minus:   2868, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1297 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  20858, rd_minus:  20664, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1298 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:    476, rd_minus:    424, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1299 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3028, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1300 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   9706, rd_minus:   8998, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1301 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  14994, rd_minus:  20570, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 1302 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3168, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1303 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   5720, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1304 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   2894, rd_minus:   2912, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 1305 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   8622, rd_minus:   8298, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1306 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3260, rd_minus:   3308, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1307 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   7700, rd_minus:   7252, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1308 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3706, rd_minus:   3836, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1309 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  66722, rd_minus:  34194, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1310 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  34808, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 1311 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  36802, rd_minus:   8508, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1312 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  36928, rd_minus:  40126, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 1313 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:  40222, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 1314 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3288, rd_minus:   3568, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1315 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   3220, rd_minus:   3514, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1316 / 83886104, payload_bits 83886080, end_bits 24
[HIDE] rd_plus:   6386, rd_minus:   6834, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1317 / 83886104, payload_bits 83886080, end_bits 24
