Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:  19390, rd_minus:  19368, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 1 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   9350, rd_minus:  11298, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 476 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   8778, rd_minus:   8844, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 477 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14838, rd_minus:  14630, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 478 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6862, rd_minus:   5682, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 479 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2124, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 480 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3284, rd_minus:   3364, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 481 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    442, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 482 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2490, rd_minus:   2610, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 483 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    456, rd_minus:    190, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 484 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2764, rd_minus:   2636, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 485 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1858, rd_minus:   2294, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 486 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1818, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 487 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6456, rd_minus:   6228, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 488 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3408, rd_minus:   3132, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 489 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2054, rd_minus:   2182, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 490 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1038, rd_minus:    900, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 491 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     68, rd_minus:     68, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 492 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     94, rd_minus:     94, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 493 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2564, rd_minus:   1424, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 494 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6256, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 495 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2670, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 496 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1796, rd_minus:   3286, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 497 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3120, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 498 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4324, rd_minus:   7000, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 499 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4148, rd_minus:   7724, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 500 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4224, rd_minus:   5214, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 501 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5472, rd_minus:   5532, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 502 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1080, rd_minus:   1652, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 503 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    988, rd_minus:   1776, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 504 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1048, rd_minus:   1042, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 505 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5566, rd_minus:   6814, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 506 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7644, rd_minus:   9920, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 507 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1344, rd_minus:   1344, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 508 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4764, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 509 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1516, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 510 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1804, rd_minus:   2076, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 511 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1478, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 512 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2676, rd_minus:   3092, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 513 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    948, rd_minus:   1156, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 514 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5404, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 515 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2768, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 516 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2694, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 517 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    972, rd_minus:   1326, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 518 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2960, rd_minus:   3716, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 519 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    162, rd_minus:    162, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 520 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2270, rd_minus:   2758, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 521 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4376, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 522 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2426, rd_minus:   2680, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 523 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4640, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 524 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    514, rd_minus:    676, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 525 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    110, rd_minus:    148, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 526 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  14204, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 527 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4460, rd_minus:   4484, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 528 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4660, rd_minus:   4388, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 529 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2396, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 530 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2992, rd_minus:   4118, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 531 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6684, rd_minus:   6684, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 532 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3772, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 533 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    234, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 534 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    216, rd_minus:    218, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 535 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3970, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 536 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3484, rd_minus:   4716, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 537 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    290, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 538 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    214, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 539 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    280, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 540 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    168, rd_minus:    156, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 541 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4232, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 542 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2832, rd_minus:   2208, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 543 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1862, rd_minus:   1848, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 544 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    770, rd_minus:    396, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 545 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    456, rd_minus:    484, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 546 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3874, rd_minus:   3732, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 547 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1108, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 548 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4252, rd_minus:   5008, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 549 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2676, rd_minus:   2648, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 550 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    240, rd_minus:    182, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 551 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    146, rd_minus:    314, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 552 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    122, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 553 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5018, rd_minus:   5024, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 554 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7444, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 555 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1932, rd_minus:   4056, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 556 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6834, rd_minus:   6834, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 557 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4750, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 558 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2018, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 559 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2792, rd_minus:   2572, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 560 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7474, rd_minus:   7050, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 561 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    314, rd_minus:    318, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 562 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    364, rd_minus:    206, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 563 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    284, rd_minus:    222, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 564 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    338, rd_minus:    196, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 565 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5044, rd_minus:   3840, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 566 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4938, rd_minus:   4896, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 567 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2364, rd_minus:   3138, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 568 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4654, rd_minus:   4028, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 569 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3806, rd_minus:   3922, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 570 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4044, rd_minus:   3752, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 571 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5436, rd_minus:   4816, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 572 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    440, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 573 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    152, rd_minus:    178, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 574 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2436, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 575 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3898, rd_minus:   4148, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 576 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2726, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 577 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   2316, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 578 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1500, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 579 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3520, rd_minus:   3892, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 580 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    198, rd_minus:    180, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 581 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    326, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 582 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   6172, rd_minus:   4156, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 583 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    184, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 584 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5426, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 585 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    242, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 586 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4376, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 587 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1976, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 588 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3178, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 589 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1148, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 590 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1924, rd_minus:   1930, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 591 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2250, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 592 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2212, rd_minus:   1480, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 593 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3078, rd_minus:   6890, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 594 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  19492, rd_minus:  16690, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 595 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   7276, rd_minus:   3170, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 596 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    136, rd_minus:    134, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 597 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3546, rd_minus:   4508, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 598 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3396, rd_minus:   3800, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 599 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2656, rd_minus:   2576, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 600 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   6906, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 601 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3632, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 602 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1668, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 603 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1640, rd_minus:   1704, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 604 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    164, rd_minus:    458, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 605 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     70, rd_minus:     70, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 606 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4958, rd_minus:   6794, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 607 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5528, rd_minus:   7176, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 608 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1646, rd_minus:   1444, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 609 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     80, rd_minus:     82, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 610 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    110, rd_minus:    110, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 611 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2270, rd_minus:   2322, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 612 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2178, rd_minus:   2148, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 613 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    526, rd_minus:    532, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 614 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1504, rd_minus:   1868, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 615 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2142, rd_minus:   2302, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 616 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   3736, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 617 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2158, rd_minus:   2190, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 618 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2870, rd_minus:   2910, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 619 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1314, rd_minus:   1424, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 620 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5474, rd_minus:   5268, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 621 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2044, rd_minus:   1596, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 622 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1844, rd_minus:   3156, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 623 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3134, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 624 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3716, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 625 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    164, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 626 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    224, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 627 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1404, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 628 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   4162, rd_minus:   3250, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 629 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3234, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 630 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5424, rd_minus:   4640, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 631 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3548, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 632 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    178, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 633 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   3752, rd_minus:   4100, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 634 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    174, rd_minus:    156, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 635 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    304, rd_minus:    376, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 636 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  12334, rd_minus:  11350, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 637 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2464, rd_minus:   2576, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 638 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1474, rd_minus:   1376, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 639 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    186, rd_minus:     -1, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 640 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    154, rd_minus:    168, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 641 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2286, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 642 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1758, rd_minus:   1596, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 643 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1226, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 644 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    172, rd_minus:    188, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 645 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   2336, rd_minus:   3478, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 646 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1070, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 647 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   5116, rd_minus:   5172, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 648 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:   1788, rd_minus:   3288, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 649 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:    232, rd_minus:    270, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 650 / 2072, payload_bits 2048, end_bits 24
[HIDE] rd_plus:  31322, rd_minus:  28280, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 651 / 2072, payload_bits 2048, end_bits 24
